type,sample,dg,time,est,lower,upper,sukup,x,age_group,agegr,0,1,total,pros,pr_years,agegr_years,year
ci,all,f00_f03,67,1.09,1.068,1.113,2,67,,,,,,,,,
ci,all,f00_f03,68,1.282,1.258,1.307,2,68,,,,,,,,,
ci,all,f00_f03,69,1.52,1.493,1.547,2,69,,,,,,,,,
ci,all,f00_f03,70,1.796,1.767,1.825,2,70,,,,,,,,,
ci,all,f00_f03,71,2.15,2.119,2.183,2,71,,,,,,,,,
ci,all,f00_f03,72,2.575,2.54,2.611,2,72,,,,,,,,,
ci,all,f00_f03,73,3.082,3.043,3.121,2,73,,,,,,,,,
ci,all,f00_f03,74,3.683,3.64,3.726,2,74,,,,,,,,,
ci,all,f00_f03,75,4.381,4.334,4.429,2,75,,,,,,,,,
ci,all,f00_f03,76,5.217,5.165,5.269,2,76,,,,,,,,,
ci,all,f00_f03,77,6.16,6.104,6.217,2,77,,,,,,,,,
ci,all,f00_f03,78,7.241,7.18,7.303,2,78,,,,,,,,,
ci,all,f00_f03,79,8.405,8.339,8.471,2,79,,,,,,,,,
ci,all,f00_f03,80,9.743,9.672,9.814,2,80,,,,,,,,,
ci,all,f00_f03,81,11.166,11.089,11.242,2,81,,,,,,,,,
ci,all,f00_f03,82,12.69,12.609,12.772,2,82,,,,,,,,,
ci,all,f00_f03,83,14.323,14.237,14.41,2,83,,,,,,,,,
ci,all,f00_f03,84,16.001,15.911,16.092,2,84,,,,,,,,,
ci,all,f00_f03,85,17.691,17.596,17.786,2,85,,,,,,,,,
ci,all,f00_f03,86,19.34,19.241,19.439,2,86,,,,,,,,,
ci,all,f00_f03,87,20.985,20.883,21.088,2,87,,,,,,,,,
ci,all,f00_f03,88,22.522,22.416,22.628,2,88,,,,,,,,,
ci,all,f00_f03,89,23.912,23.803,24.021,2,89,,,,,,,,,
ci,all,f00_f03,90,25.124,25.013,25.236,2,90,,,,,,,,,
ci,all,f00_f03,91,26.208,26.094,26.321,2,91,,,,,,,,,
ci,all,f00_f03,92,27.118,27.003,27.234,2,92,,,,,,,,,
ci,all,f00_f03,93,27.908,27.791,28.025,2,93,,,,,,,,,
ci,all,f00_f03,94,28.519,28.4,28.637,2,94,,,,,,,,,
ci,all,f00_f03,95,28.988,28.869,29.108,2,95,,,,,,,,,
ci,all,f00_f03,96,29.334,29.214,29.454,2,96,,,,,,,,,
ci,all,f00_f03,97,29.587,29.466,29.708,2,97,,,,,,,,,
ci,all,f00_f03,98,29.75,29.629,29.872,2,98,,,,,,,,,
ci,all,f00_f03,99,29.839,29.717,29.961,2,99,,,,,,,,,
ci,all,f00_f03,100,29.903,29.781,30.025,2,100,,,,,,,,,
ci,all,f00_f03,35,0.004,0.003,0.005,1,35,,,,,,,,,
ci,all,f00_f03,36,0.008,0.006,0.01,1,36,,,,,,,,,
ci,all,f00_f03,37,0.012,0.01,0.014,1,37,,,,,,,,,
ci,all,f00_f03,38,0.015,0.012,0.018,1,38,,,,,,,,,
ci,all,f00_f03,39,0.019,0.017,0.023,1,39,,,,,,,,,
ci,all,f00_f03,40,0.023,0.02,0.026,1,40,,,,,,,,,
ci,all,f00_f03,41,0.027,0.024,0.031,1,41,,,,,,,,,
ci,all,f00_f03,42,0.033,0.029,0.037,1,42,,,,,,,,,
ci,all,f00_f03,43,0.038,0.034,0.042,1,43,,,,,,,,,
ci,all,f00_f03,44,0.043,0.039,0.048,1,44,,,,,,,,,
ci,all,f00_f03,45,0.048,0.044,0.053,1,45,,,,,,,,,
ci,all,f00_f03,46,0.058,0.053,0.063,1,46,,,,,,,,,
ci,all,f00_f03,47,0.067,0.062,0.073,1,47,,,,,,,,,
ci,all,f00_f03,48,0.079,0.073,0.085,1,48,,,,,,,,,
ci,all,f00_f03,49,0.09,0.083,0.096,1,49,,,,,,,,,
ci,all,f00_f03,50,0.102,0.095,0.109,1,50,,,,,,,,,
ci,all,f00_f03,51,0.119,0.112,0.127,1,51,,,,,,,,,
ci,all,f00_f03,52,0.137,0.129,0.145,1,52,,,,,,,,,
ci,all,f00_f03,53,0.157,0.149,0.166,1,53,,,,,,,,,
ci,all,f00_f03,54,0.182,0.174,0.191,1,54,,,,,,,,,
